"","average_distances"
"390",192.934356874644
"391",176.717543218628
"392",150.350822863378
"393",145.67117451978
"394",192.557603661379
"395",175.738385016474
"396",174.954199878186
"397",168.548605531909
"398",168.069511970497
"399",170.855746412368
"400",176.576380883916
"401",162.275034877103
"402",145.169575479638
"403",168.584775408794
"404",167.53554467088
"405",154.27243709836
"406",156.586748232833
"407",160.33440338346
"408",188.351609802467
"409",190.651036345523
"410",190.651036345523
"411",199.029658073976
"412",193.059493737228
"413",204.061374057913
"414",215.963117077171
"415",215.963117077171
"416",217.21329401212
"417",215.963117077171
"418",208.902587593264
"419",194.63609288849
"420",186.017406417454
"421",177.888009348347
"422",187.870811209795
"423",189.090184952913
"424",203.8123652658
"425",207.19522102176
"426",189.991064866154
"427",212.994384703722
"428",224.615456531912
"429",217.227617204042
"430",223.211388278959
"431",195.228662828031
"432",190.798444679039
"433",190.453360976467
"434",194.735555253841
"435",194.735555253841
"436",236.756182915175
"437",219.850271770326
"438",267.551835045091
"439",289.113935524
"440",299.170039040234
"441",264.522268478798
"442",250.743709495195
"443",228.54839941855
"444",223.698864436272
"445",222.28345760514
"446",219.45519911337
"447",216.357733539443
"448",215.94667613713
"449",219.67155561903
"450",219.67155561903
"451",228.102505040799
"452",229.185141307523
"453",236.291509099826
"454",196.380504101889
"455",203.617855832211
"456",232.156413225021
"457",225.289775158741
"458",241.652737069829
"459",223.101730901893
"460",198.751010691753
"461",181.067631605738
"462",191.173830700503
"463",229.75700728521
"464",220.423371871066
"465",241.603548062821
"466",241.603548062821
"467",223.716817510651
"468",202.700367243848
"469",216.138167396673
"470",208.161193575133
"471",240.905242611958
"472",238.847415889628
"473",203.879681092467
"474",224.459483995273
"475",245.269542712041
"476",261.72471701647
"477",220.983804766607
"478",220.115501659899
"479",220.115501659899
"480",238.510071413607
"481",253.138081989066
"482",259.654865668419
"483",256.664697665755
"484",319.445423713032
"485",296.676658521086
"486",330.477885668671
"487",304.30981529293
"488",289.597416449656
"489",264.797001673308
"490",274.435207310439
"491",287.252330011311
"492",236.533124173452
"493",236.533124173452
"494",226.710549215883
"495",175.455948312715
"496",184.822242840286
"497",173.289637456299
"498",178.936224163372
"499",174.783421410982
"500",172.716457567327
"501",156.95691279449
"502",157.625552253744
"503",190.423195006495
"504",196.878219325097
"505",186.096633704415
"506",181.875511856491
"507",184.267810590849
"508",172.944814903813
"509",230.12164266577
"510",224.731561374684
"511",192.145403902077
"512",189.977391948028
"513",189.977391948028
"514",190.615301642769
"515",190.615301642769
"516",185.758510460881
"517",201.263687206386
"518",197.385642400195
"519",214.164404785674
"520",237.776834377999
"521",250.908587841749
"522",248.418169367179
"523",245.153635824702
"524",240.07293837224
"525",247.956517845368
"526",248.457153748424
"527",248.457153748424
"528",242.412255459585
"529",254.022386594594
"530",231.960078109357
"531",230.430299853996
"532",222.072289766485
"533",222.072289766485
"534",222.072289766485
"535",232.860046477638
"536",204.234329616163
"537",198.080768076989
"538",198.080768076989
"539",237.390024243403
"540",237.390024243403
"541",237.390024243403
"542",256.806826792195
"543",241.176786237967
"544",235.975485272774
"545",235.975485272774
"546",214.85196208041
"547",214.791787602416
"548",196.829649110352
"549",207.042375631203
"550",188.123886367146
"551",183.035438198427
"552",190.963209248943
"553",197.172339856977
"554",211.289869430115
"555",203.999215818185
"556",199.553889836471
"557",216.503182939526
"558",218.703705040307
"559",192.867172977221
"560",197.189272113328
"561",207.926941766561
"562",201.255346103216
"563",202.397757189552
"564",211.166428516242
"565",205.731327356705
"566",205.069583120751
"567",218.278747500029
"568",218.278747500029
"569",208.603603436102
"570",210.912043800083
"571",215.260156776893
"572",210.785445577818
"573",173.129232294016
"574",160.134205831523
"575",167.052310097723
"576",167.831126043599
"577",154.324016382614
"578",183.313564706475
"579",186.859847452178
"580",169.976638344692
"581",179.209197510777
"582",187.925550144571
"583",184.142061152743
"584",184.142061152743
"585",185.992849117393
"586",217.311209967253
"587",242.611580800923
"588",245.478102397462
"589",254.373036172384
"590",236.37269329659
"591",246.845544968025
"592",227.71168049608
"593",208.993316820651
"594",209.881137309157
"595",221.078057385575
"596",227.352005402836
"597",231.462952605849
"598",243.669744922423
"599",243.669744922423
"600",251.353496860678
"601",225.329032386883
"602",237.653818491142
"603",187.362809168236
"604",187.362809168236
"605",182.973694016842
"606",173.654200851149
"607",191.670414419668
"608",205.864984735277
"609",213.971122615713
"610",237.731739705825
"611",236.97888087481
"612",255.407817347733
"613",238.708415595745
"614",246.238962161748
"615",245.446317766153
"616",190.092369089682
"617",178.585798147621
"618",219.364951811995
"619",219.826256317379
"620",219.826256317379
"621",238.247875192653
"622",240.177215166647
"623",225.200230340569
"624",233.147369426164
"625",233.76355561896
"626",230.519938276568
"627",257.32547060172
"628",273.567796977926
"629",273.567796977926
"630",238.4691431848
"631",212.265860553206
"632",218.745789457546
"633",211.384550453018
"634",209.781939853869
"635",231.374766165024
"636",243.260894358612
"637",237.751021333071
"638",260.754449317979
"639",267.660988400173
"640",253.988053740376
"641",260.537986469081
"642",260.537986469081
"643",230.232686174499
"644",230.232686174499
"645",262.731764220079
"646",255.625612790831
"647",276.074934871299
"648",277.864942543018
"649",280.317885200991
"650",292.101409945031
"651",294.227363130765
"652",308.382934228512
"653",274.033303912837
"654",274.971805287184
"655",250.37913323409
"656",235.84733725796
"657",233.786713214261
"658",217.06705208824
"659",222.007881090174
"660",207.769547463748
"661",179.249876069059
"662",179.249876069059
"663",184.745961997623
"664",195.677297411272
"665",209.740741050492
"666",209.740741050492
"667",194.619016900803
"668",191.596704362399
"669",202.21129536703
"670",198.852395912011
"671",196.816193908324
"672",186.827839860558
"673",179.235519044815
"674",183.638767475697
"675",219.599210105935
"676",221.900679132747
"677",240.717321487336
"678",249.081936302868
"679",209.107673079291
"680",181.825782405809
"681",252.914446745907
"682",259.871428799051
"683",271.230259926805
"684",275.419197317042
"685",259.622068482503
"686",263.940218303222
"687",275.290963619972
"688",257.211246396624
"689",250.650075968956
"690",259.108814234707
"691",259.108814234707
"692",256.602439040101
"693",195.268319252379
"694",193.534490679172
"695",191.613369366242
"696",188.226548454723
"697",190.752249418912
"698",195.923585084055
"699",185.054527914815
"700",210.255325300569
"701",193.528154938228
"702",204.76938995533
"703",175.185698735559
"704",137.757123537234
"705",144.589508527731
"706",138.106421213863
"707",148.299827520819
"708",160.982499865434
"709",151.803829871721
"710",164.763852527775
"711",162.575102041523
"712",150.763859523855
"713",150.763859523855
"714",206.871621975145
"715",206.871621975145
"716",216.187280995713
"717",211.038513623149
"718",211.038513623149
"719",199.323793236835
"720",199.323793236835
"721",205.671470174196
"722",210.148954009991
"723",210.430252734449
"724",210.430252734449
"725",206.191863760724
"726",193.861692295843
"727",216.205364143362
"728",241.523059105291
"729",331.466422044934
"730",287.684416081964
"731",284.289666108591
"732",284.289666108591
"733",284.289666108591
"734",308.921561940635
"735",277.360151921738
"736",277.360151921738
"737",275.264887931222
"738",268.875218675139
"739",289.077682577309
"740",293.059901767929
"741",288.854623029076
"742",357.306918076751
"743",331.982900959078
"744",299.341897896782
"745",294.821308148156
"746",313.7437236536
"747",264.592552051011
"748",298.373229680297
"749",283.551219882079
"750",279.776394138925
"751",285.959546717055
"752",307.957042464087
"753",314.126185083451
"754",344.477381070411
"755",322.448527857065
"756",308.268134171039
"757",292.386291570069
"758",322.82286887078
"759",303.201115495447
"760",370.289703017523
"761",337.193548972247
"762",286.704276203655
"763",270.765874026174
"764",288.987416446947
"765",288.987416446947
"766",244.580073445539
"767",270.00027140907
"768",262.908513056201
"769",287.994872100961
"770",292.674747385579
"771",278.356517582607
"772",299.603837127086
"773",299.603837127086
"774",327.479633834593
"775",272.211981436956
"776",272.211981436956
"777",268.159758693395
"778",289.630753211495
"779",281.367896710862
"780",264.60067885012
"781",274.383329376223
"782",280.148254466392
"783",315.062580460932
"784",325.767541048945
"785",314.458119390193
"786",337.493283957837
"787",314.731472423366
"788",314.731472423366
"789",319.648057919793
"790",340.560200196667
"791",337.440869417081
"792",324.974904311675
"793",331.077154872947
"794",298.494775457831
"795",279.871249823933
"796",260.878927738937
"797",260.878927738937
"798",260.434856177029
"799",242.220488956002
"800",230.892221654081
"801",266.023289460962
"802",252.730438554639
"803",242.246925039416
"804",231.760202079613
"805",231.760202079613
"806",218.287090326467
"807",228.228659246716
"808",254.945272487522
"809",259.382371750897
"810",277.821889156188
"811",272.64451021963
"812",259.63465181238
"813",304.732151670944
"814",275.879690212381
"815",275.879690212381
"816",284.36137754408
"817",284.36137754408
"818",284.36137754408
"819",283.517335739415
"820",290.334191181037
"821",282.311492701609
"822",306.019206934194
"823",280.571740731157
"824",258.391846056656
"825",253.009986953019
"826",253.009986953019
"827",253.009986953019
"828",272.357062903708
"829",259.012271108141
"830",243.819776206909
"831",243.819776206909
"832",251.611916678456
"833",231.899125662996
"834",231.899125662996
"835",242.358665713009
"836",227.138424562564
"837",233.919204136393
"838",218.962162218443
"839",243.530931973045
"840",238.652023097966
"841",244.632902534136
"842",252.271428961332
"843",233.331016770874
"844",244.956785691379
"845",222.641755505898
"846",215.100179078794
"847",226.845221430742
"848",263.751602981717
"849",236.658182283452
"850",236.658182283452
"851",228.323519007463
